,batch_size,accuracy,precision,recall,f1,auc
0,32,0.6979020979020979,0.716012084592145,0.6601671309192201,0.6869565217391305,0.6980610935494976
1,64,0.6741258741258741,0.6702702702702703,0.6908077994428969,0.6803840877914952,0.6740555851147069
2,128,0.6167832167832168,0.6332288401253918,0.5626740947075209,0.5958702064896756,0.6170112046571312
3,256,0.5776223776223777,0.5871559633027523,0.5348189415041783,0.5597667638483965,0.5778027291790554
