kernel,max_gap,min_support_pos,min_support_neg,accuracy,precision,recall,f1,auc
poly,5.0,0.1,0.25,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
poly,4.0,0.1,0.25,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
poly,6.0,0.1,0.25,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
poly,7.0,0.1,0.15,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
poly,7.0,0.1,0.25,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
poly,8.0,0.1,0.25,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
poly,6.0,0.1,0.15,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
poly,5.0,0.2,0.15,0.8041666666666667,0.7546296296296297,0.9030470914127424,0.8221941992433797,0.8038912337286553
poly,5.0,0.3,0.2,0.8027777777777778,0.7517241379310344,0.9058171745152355,0.821608040201005,0.8024907599595676
poly,5.0,0.15,0.1,0.8013888888888889,0.7488584474885844,0.9085872576177285,0.8210262828535669,0.8010902861904798
poly,4.0,0.2,0.1,0.8013888888888889,0.7488584474885844,0.9085872576177285,0.8210262828535669,0.8010902861904798
poly,7.0,0.3,0.1,0.8,0.744920993227991,0.9141274238227147,0.8208955223880597,0.7996820963124716
poly,8.0,0.3,0.1,0.8,0.744920993227991,0.9141274238227147,0.8208955223880597,0.7996820963124716
poly,6.0,0.3,0.1,0.8,0.744920993227991,0.9141274238227147,0.8208955223880597,0.7996820963124716
poly,5.0,0.15,0.15,0.8027777777777778,0.7540603248259861,0.9002770083102493,0.8207070707070706,0.8025061921774088
poly,5.0,0.2,0.2,0.8027777777777778,0.7540603248259861,0.9002770083102493,0.8207070707070706,0.8025061921774088
poly,4.0,0.25,0.1,0.8013888888888889,0.75,0.9058171745152355,0.820577164366374,0.8010980022994003
poly,5.0,0.25,0.1,0.8013888888888889,0.75,0.9058171745152355,0.820577164366374,0.8010980022994003
poly,4.0,0.2,0.2,0.8027777777777778,0.7552447552447552,0.8975069252077562,0.820253164556962,0.8025139082863293
poly,6.0,0.15,0.1,0.8,0.7471526195899773,0.9085872576177285,0.8200000000000002,0.7996975285303127
