max_gap,min_support_pos,min_support_neg,accuracy,precision,recall,f1,auc
10.0,0.3,0.3,0.7875,0.7722513089005235,0.817174515235457,0.7940780619111709,0.7874173411831882
9.0,0.3,0.25,0.7875,0.7722513089005235,0.817174515235457,0.7940780619111709,0.7874173411831882
10.0,0.3,0.25,0.7875,0.7722513089005235,0.817174515235457,0.7940780619111709,0.7874173411831882
9.0,0.3,0.3,0.7875,0.7722513089005235,0.817174515235457,0.7940780619111709,0.7874173411831882
5.0,0.3,0.1,0.7861111111111111,0.7702349869451697,0.817174515235457,0.793010752688172,0.7860245835230211
10.0,0.3,0.1,0.7861111111111111,0.7702349869451697,0.817174515235457,0.793010752688172,0.7860245835230211
9.0,0.3,0.1,0.7861111111111111,0.7702349869451697,0.817174515235457,0.793010752688172,0.7860245835230211
4.0,0.3,0.3,0.7861111111111111,0.7716535433070866,0.814404432132964,0.7924528301886793,0.7860322996319415
5.0,0.3,0.25,0.7861111111111111,0.7716535433070866,0.814404432132964,0.7924528301886793,0.7860322996319415
5.0,0.3,0.3,0.7861111111111111,0.7716535433070866,0.814404432132964,0.7924528301886793,0.7860322996319415
4.0,0.3,0.25,0.7861111111111111,0.7716535433070866,0.814404432132964,0.7924528301886793,0.7860322996319415
5.0,0.2,0.25,0.7861111111111111,0.7730870712401056,0.8116343490304709,0.7918918918918919,0.7860400157408622
5.0,0.2,0.3,0.7861111111111111,0.7730870712401056,0.8116343490304709,0.7918918918918919,0.7860400157408622
7.0,0.3,0.1,0.7847222222222222,0.7696335078534031,0.814404432132964,0.7913862718707941,0.7846395419717744
5.0,0.3,0.15,0.7847222222222222,0.7696335078534031,0.814404432132964,0.7913862718707941,0.7846395419717744
6.0,0.3,0.1,0.7847222222222222,0.7696335078534031,0.814404432132964,0.7913862718707941,0.7846395419717744
4.0,0.3,0.2,0.7847222222222222,0.7696335078534031,0.814404432132964,0.7913862718707941,0.7846395419717744
8.0,0.3,0.1,0.7847222222222222,0.7696335078534031,0.814404432132964,0.7913862718707941,0.7846395419717744
4.0,0.3,0.1,0.7833333333333333,0.7662337662337663,0.817174515235457,0.7908847184986594,0.7832390682026867
7.0,0.3,0.25,0.7847222222222222,0.7710526315789473,0.8116343490304709,0.7908232118758435,0.7846472580806951
7.0,0.2,0.25,0.7847222222222222,0.7710526315789473,0.8116343490304709,0.7908232118758435,0.7846472580806951
8.0,0.3,0.3,0.7847222222222222,0.7710526315789473,0.8116343490304709,0.7908232118758435,0.7846472580806951
